,Componente 1,Componente 2,C. Manual,Clusters
46,-0.02963875273370235,0.8154447794934907,O-01_Licencia Onbase,0
47,-0.037513467376664146,0.7939550371420638,O-01_Licencia Onbase,0
48,0.06697767838413782,-0.7728076395949447,C-12_Viaticos,2
49,0.04688143698935552,-0.7778173955773938,C-12_Viaticos,2
50,-0.08777327368453862,-0.669665507459643,C-12_Viaticos,5
51,0.5981121946421246,-0.2523801644409414,C-03_Servicios InMotion_Construcción,2
52,0.12071175455916378,-0.8175910496265962,C-12_Viaticos,2
53,-0.25644466527018017,-0.566189622746455,C-12_Viaticos,5
54,-0.09976254773737372,-0.715429962178139,C-12_Viaticos,5
55,-0.4043496872028686,-0.5230904767609008,C-12_Viaticos,5
56,-0.37828270888113213,-0.44133934253332496,C-12_Viaticos,5
57,-0.33666058061320564,-0.5013309477610718,C-12_Viaticos,5
58,-0.15463976209344288,-0.6677555436572704,C-12_Viaticos,5
59,-0.4413490505975947,-0.42741665391243494,C-07_Convivencia,5
60,-0.36656345959136644,-0.6591170355511354,C-12_Viaticos,5
61,0.6322343711696533,-0.27867169594379726,C-03_Servicios InMotion_Construcción,2
62,-0.35017058872172313,-0.6472509901754658,C-12_Viaticos,5
63,-0.27002368136306043,-0.04976019659237355,C-12_Viaticos,3
64,-0.4190330071499704,-0.6000485485365563,X-04_Reclasificar Servicios Front,5
65,-0.375039009117225,0.11700562125232009,C-07_Convivencia,3
66,0.36647441934946223,-1.417839861263459,C-11_PMO & Soporte - Autos,2
67,1.4132558997843432,-2.207679626477546,X-05_Reclasificar Servicios Front - App Movil,4
68,-0.4133115153717456,-0.6699682293042617,C-07_Convivencia,5
69,-0.478184530515798,-0.5836459579173212,X-04_Reclasificar Servicios Front,5
70,-0.48791968594669877,-0.604704825445932,X-04_Reclasificar Servicios Front,5
71,-0.37287569159557565,0.08692682524247677,C-07_Convivencia,3
72,-0.4273210581959225,-0.4664897847591955,C-07_Convivencia,5
73,-0.3683879366861285,0.0430272893284361,C-12_Viaticos,3
74,-0.3741401406674141,0.018949066577123086,C-12_Viaticos,3
75,-0.3809939385496828,-0.004294063388256926,C-12_Viaticos,3
76,-0.38261080336328057,0.06586795250436456,C-07_Convivencia,3
77,-0.40424434442033996,0.05382900303798325,C-07_Convivencia,3
78,-0.4976547734570729,-0.6257637010782119,X-04_Reclasificar Servicios Front,5
79,0.35673930758175726,-1.4388987340015715,C-11_PMO & Soporte - Autos,2
80,1.6917582614803213,-0.5470892024997996,C-03_Servicios InMotion_Construcción,4
81,-0.4691694623695722,-0.9227441927540094,X-04_Reclasificar Servicios Front,5
82,-0.4230466271394505,-0.6910271020423739,C-07_Convivencia,5
83,-0.5073899725511691,-0.6468225633973212,X-04_Reclasificar Servicios Front,5
84,-0.46081927413300466,-0.4695343993886592,C-07_Convivencia,5
85,-0.5315614526944198,-0.9038851071831847,X-04_Reclasificar Servicios Front,5
86,-0.4327131533670284,0.04697171162131982,C-07_Convivencia,3
87,-0.3654719710242829,-0.6477979174352207,C-12_Viaticos,5
88,-0.14263221902731857,-0.11596633376116673,C-12_Viaticos,3
89,-0.4846122536257895,-0.9037629721701229,X-04_Reclasificar Servicios Front,5
90,-0.4943473653934945,-0.924821844908235,X-04_Reclasificar Servicios Front,5
91,-0.5040824771611995,-0.9458807176463472,X-04_Reclasificar Servicios Front,5
92,-0.45433366443549006,-0.41109966966221306,C-07_Convivencia,5
93,-0.5412965644621247,-0.9249439799212968,X-04_Reclasificar Servicios Front,5
94,0.5525339538310634,0.16701566525269582,S-02_Licencia SAP,2
95,-0.4437906717422815,-0.7480839401492485,X-05_Reclasificar Servicios Front - App Movil,5
96,-0.4133115153717456,-0.6699682293042617,C-07_Convivencia,5
97,-0.375039009117225,0.11700562125232009,C-07_Convivencia,3
98,-0.37287569159557565,0.08692682524247677,C-07_Convivencia,3
99,-0.34229765476914514,-0.15354846739460212,C-07_Convivencia,3
100,-0.4535257835099864,-0.7691428128873607,X-05_Reclasificar Servicios Front - App Movil,5
101,-0.21712520297172,0.5389832253315225,O-01_Servicios Onbase,3
102,-0.4171126423331505,-0.4677548983852178,C-07_Convivencia,5
103,-0.5510316762298297,-0.9460028526594092,X-04_Reclasificar Servicios Front,5
104,0.7644715148873733,-0.5065877248752866,C-03_Servicios InMotion_Construcción,2
105,0.34700419581405206,-1.4599576067396833,C-11_PMO & Soporte - Autos,2
106,-0.16746809966744838,-1.0983869273938622,C-11_PMO & Soporte - Autos,5
107,-0.17720321143515344,-1.1194458001319745,C-11_PMO & Soporte - Autos,5
108,2.0635544240255057,-2.7290946836359757,X-05_Reclasificar Servicios Front - App Movil,4
109,-0.478650561301352,-0.5202043721223643,C-07_Convivencia,5
110,-0.43504294284724376,-0.8506415643636696,X-04_Reclasificar Servicios Front,5
111,-0.4447780546149487,-0.8717004371017817,X-04_Reclasificar Servicios Front,5
112,-0.4230466271394505,-0.6910271020423739,C-07_Convivencia,5
113,-0.4690039893790226,-0.5358491803248796,X-04_Reclasificar Servicios Front,5
114,-0.49062065323141624,-0.5479009240086676,X-04_Reclasificar Servicios Front,5
115,-0.5003557649991213,-0.5689597967467801,X-04_Reclasificar Servicios Front,5
116,-0.4498832143813445,-0.44928905294903115,C-07_Convivencia,5
117,-0.43585522197967247,-0.48836218379579177,C-07_Convivencia,5
118,-0.38261080336328057,0.06586795250436456,C-07_Convivencia,3
119,-0.40424434442033996,0.05382900303798325,C-07_Convivencia,3
120,-0.4327131533670284,0.04697171162131982,C-07_Convivencia,3
121,-0.243540050596462,-0.039470447107894484,C-12_Viaticos,3
122,0.2854701462522497,-0.9323656475681006,C-12_Viaticos,2
